lang,id,time,subs
de,oRgN9I8vp4k,277,"Denn es gibt zwar
viele schwarze Löcher mit bis zu 150 Sonnenmassen und auch welche mit der
millionenfachen Masse der Sonne"
de,w9J6D4r30HY,162,"Die meisten Menschen arbeiten
bis sie 65 sind. Das heißt dass du mindestens
 2 .000 Wochen deines Lebens ernsthaft
und ganz erwachsen arbeitest."
de,ZOLnBTa262c,25,der Welt Rückblick 14 Juni 2023 nur 100 Menschen können gerettet werden als in dieser
de,QsUuDoEano8,83,bestätigen okay dann direkt weiter jetzt 16 er [Musik]
de,c2tAQaFhWE8,59,im Rathaus die Anfangszeit ist unverändert 20 Uhr vor dem Rathaus gibt es noch einige freie Parkplätze
de,69WMqkQ69_w,181,immer diesen Druck aufbauen und dieses schlechte Gewissen aufbauen egal was 30 % aber Roller skip
de,lJHVwf4L2uI,119,schwimmenden Märkten 9 Uhr geht es los dann geht's dahin das können Sie sich auch anschauen
de,Ja0phr-SJj4,102,abtransportieren und wieder bringen ja das heißt plus 58 Euro und arbeiten tun wir 3 Stunden
de,EUUR1MoPi_s,116,teilen mit verbundenen Augen daneben mit seinen 2 % Sehkraft hätte er wenigstens die Umrisse erahnen können
de,1lP14rZfHHE,43,kompletten Baumstamm einfach wegzureißen ja aber 8 Meter 50 hoch ja wir lachen die Autos in Mühlengraben
de,SvsBMx-WiF4,145,nach Ruanda 6 .600 km Ibrahim Flow aus Syrien nach
de,-IvU55-HlUg,106,nächte 124 euro bezahlt also pro person 62 euro und dort braucht das frühstück inklusive das quad resort hat übrigens
de,IMjbueZU98o,247,"zerstörte und dann in einer Kettenreaktion
viele folgende kleinere Dämme. Das verursachte eine Flut von über 15 Milliarden
Kubikmetern Wasser. Kilometerlange haushohe Wellen zerstörten
tausende Quadratkilometer Land und zahllose"
de,dauQUUNh8_E,137,die flotten aus AIDA hat aktuell noch 12 Schiffe im Laufe des Jahres 2023 geht ja AIDA auch weg dann sind es nur 11 
de,qUQ42GB8_zM,65,ihren Überresten zu vergehen nachdem er 1992 zu 15 -fach lebenslanger Haft verurteilt wurde saß er bis zum Rest
de,byGGbwll928,141,natürlich AIDA aber mehr so in den 2000 er Jahren wobei AIDA und mein Schiff auch immer wieder eingestreut wird ja ja
de,XYj0nrfC26M,167,"über chip.de oder sonst was gegen 12 oder 12 :30 
Uhr schlafen gegangen und wurde mit der Nachricht   aufgeweckt um gegen 7 Uhr was denn auf Youtube 
los ist natürlich erstmal geschaut da lief ein   testler Stream mit dem Aufruf dass man Bitcoins 
oder kryptowährungen da hinschicken soll also auch  "
de,aFuVFepb6S8,9,nicht als Notfall eingestuft wurde sollte erst jemand am 15 .5 zur Besichtigung kommen also knapp einen
de,iZ5rsLyVUpg,199,ihr im Knast ist Rey einer von vielen zu Hochphase sitzen fast 1200 Insassen hinter den Gittern von brashi weit mehr
de,67F4wWCUKTY,211,auf madeira ausgelegt gewesen also dort wo tiefsttemperaturen höchsten berg 7 grad angesagt und jetzt haben wir bei
de,_nrezVzG9Hc,253,auf dem Floating Market gebucht länger dauern als 20 Minuten für 250 € insgesamt umgerechnet
de,K1l6AIvPbw4,34,eine Länge von um die 250 Meter und hat eine Maximalbelegung von um die 2600 Gäste zumindest dann wenn dritte und
