lang,id,time,subs
fr,ypT5BGms-Z4,11,mange pas de pain c'est pas mignon c'est pour les 100 millions de vues ensemble mais non
fr,1L3QHcv_DB4,96,jamais il y a 100000 frères joue pour 100000 il y a le respect du web ok ok et ça ça vaut le monde hey fiston regarde
fr,nHHn9ecInH8,17,45000 policiers et gendarmes déployés pour les festivités du 14 juillet le gouvernement craint évidemment de
fr,9ebu48dilV8,37,France seul 10 % des licenciés sont des femmes contre 40 % aux États-Unis et 1 million de joueuses en Allemagne alors
fr,oFqNU-XI3-k,81,au programme dans le terrible col de jouplane à 12 km seulement de l'arrivée de Martin l'ange pour Europe 1 et 7 14e
fr,bmCBvw4Kvc4,38,l'après-midi c'est fermé l'Acropole rouvre à 17 h30 c'est à cause des fortes chaleurs de ces derniers jours
fr,cakJmZqcOTo,137,[Musique] construit au 17 ème siècle le fort est dit à la Vauban du nom du célèbre
fr,U7BimE6Wins,18,sont enflammés plus de 5000 véhicules incendiés 1000 bâtiment brûlés dégradé ou pillés des centaines de mairies
fr,Y3ZfMOxa1IM,74,alors que l'autobus normal à une capacité de 70 places dont 40 à 6 la diminution de capacité a été largeur
fr,RJ6g4Ac69JY,19,donneur d'Emmanuel Macron à la fête nationale du 14 juillet demain avenue au 6 négocier des contrats avec des gens 1
fr,ebdEnpFgXdI,180,"genre beaucoup. Le match est dans 5 minutes !
Oui j'apprends vite. Oui j'ai fini Sniper Elite 4
sans les tutos"
fr,LnMDk_MMznY,357," rédaction d'1 flyer à destination 
 des parents ou encore  l'interdiction de la vente de 
 mortiers d'artifice pour le 14  juillet. 
 Les Français en ont assez de votre "
fr,bLcgU2jSG7Q,33,elle était l'une des figures des années 60 belles libres insouciante Jane Birkin est décédé ce dimanche à l'âge de 76 ans
fr,oJrmRYdM3lU,59,après la guerre 14 et bien on est revenu donc au système de circulation de 1914 mais en augmentant le parc d'autobus et
fr,n_6Rb5g-de4,40,"Je vais couper
mes aubergines en gros cubes
d'environ 1 à 2 cm de côté et je les mets
sur ma plaque de cuisson."
fr,l-yJ3-qPmPQ,6,pas dans l'Ukraine occupé par la Russie on est en territoire russe à 350 km du front ukrainien bon loin à l'intérieur
fr,13SVys8e6Xs,57,sacré-cœur cet homme ne se promène pas durant 9 jours il va gravir près de 5000 fois les 225 marches de cet escalier de
fr,efG3P-vikDU,119,longue et 1 peu plus étalée qui ressemblerait à 2005 mais en beaucoup plus intense et en beaucoup plus
fr,iHLT7_WaN-A,203,"Retemporalisation dans 5 ... - Attends !
- 4 ... - Attends attends !
- 3 ... 2 ... 1 ..."
fr,hbjCREcACcU,11,victimes 1 homme et 2 filles de 9 et 14 ans ont été transportés à l'hôpital leur vie ne serait pas en danger malgré
fr,hbjCREcACcU,9,selon les secours israéliens les 3 victimes 1 homme et 2 filles de 9 et 14 ans ont été transportés à l'hôpital
fr,iC2i9n00C68,80,dans la merde les 100000 ils sont tellement réglé vite fait le joueur de poker la pétition elle
fr,B49CLJWS5Zw,267,dit que c'est 100 choses ou 100 non pas dit il y a 100 choses [Rires]
fr,8cKvhyT15nE,143,immense digue de plus de 1000 km de longueur sur environ 30 km de large que les assauts
fr,dl1ZVssPKjI,41,"Après je sais pas si on peut appeler ça
1 week-end quand ça fait 6 jours quoi... Put*** réunion !"
fr,uFzZ6i4AvGE,13,moyenne d'1 pénis et donc passer de 1227 cm à 1523 cm c'est une moyenne ne paniquez pas alors vous allez me dire
fr,g2RVDaeEGIs,52,paru c'est le plus faible qui enregistré depuis plus de 10 ans cette maîtrise de l'emploi de la force 62 usages des armes
fr,g2RVDaeEGIs,34,usages des armes mortelles 62 usage
fr,F_3r8tttNOQ,29,presque 2 ans voici à quoi il ressemblait avant l'ex dirigeant de 55 ans faisait près de 115 kg avant son
fr,WhhHqrHcnFU,41,ce soir vous êtes ministre de la Santé vous avez été pendant plus de 30 ans 38 ans je crois sauf erreur
fr,IQHzaR9JEeE,132,parisiens ou encore du minibus il circule plus facilement 100000 de plus en service prochainement
fr,nHHn9ecInH8,7,bonsoir bonsoir à toutes et à tous et bienvenue dans ce sens public 90 minutes de débats et de reportage pour donner du
fr,DZwD017zwYc,119,à l'époque du Barça en 2015 il met sa vie sur le banc en 2015 Amy Amy titulaire et tchavy qui est Xavi
fr,4HC5KxNXdcs,87,nouvelle flambée de violence à l'occasion des fêtes du 14 juillet quel est le dispositif de sécurité quels sont
fr,YIu575sOfiA,15,opération vous savez combien de vis j'ai dans le corps 48 dans mon état est-ce que je serai
fr,oJrmRYdM3lU,9,conducteur il a parcouru 1 nombre de kilomètres égal à 20 fois le tour de la terre
fr,CpZBJZYJKFE,48,"– Et pour sa copine.
– Et sa copine pardon ! Enfin si t'as pas vu les 27 autres Marvel tu comprends rien.
– Mais pas du tout."
fr,XHG5WsM2wXs,113,seront mises à disposition des commerçants détaillants avant 6 h heure de la cloche c'est vers 8 h que les
fr,aCvuBZCHTg8,181,compris les chinois ils ont dû attendre 20 ans après sa sortie dans les salles obscures pour justement découvrir je
fr,z7sD1IU8UrE,159,frederman lui a dit qu'il a été suivi depuis 2 ans donc peut-être qu'avec les contacts en amont ça a pu permettre à
fr,SNvGEoZMtGw,90,mer et de nombreux blessés en Méditerranée 90 % des accidents se produisent à moins de 12 km déco Cédric
fr,vcnaO2IwzQ0,274,le feu d'artifice et le bal des balles du 14 juillet en disant on va avoir 1 petit peu de pudeur et se retenir
fr,dHqmN-5jVKY,59,l'éliminer ok j'ai capté précisions on a fait 6 épisodes et j'ai toujours pas donné le barème des points si vous
fr,wSm0KMA-65o,79,perdu plus de 15 % de médecins entre 2015 et 2020 devenant l'1 des premiers déserts médicaux en France alors oui en
fr,tUnQaDgM8xM,31,du débarquement en Normandie ce sera les 80 ans mais il y aura aussi de la libération de de Paris notamment donc
fr,_0HnE8AKKqI,10,l'adncg alors depuis il y a eu l'avant d'alvélo à l'OL le départ de 19 joueurs pour alléger la masse salariale la
fr,SB0NHtG_Kxg,7,personnel du supermarché mais également par les pompiers le 10 de la Côte d'Or qui s'est très vite rendu sur les lieux
fr,TE0DEeSsv3w,3,bienvenue je suis dans une semaine dans le monde l'actualité des 7 derniers jours vu par nos éditorialistes avec moi
fr,2Hdq0ygBuic,122,aussi l'aloe vera ou encore des légumes marinés ensuite vous avez le groupe 3 qui est considéré comme inclassable par
fr,Y3ZfMOxa1IM,4,[Musique] à partir de demain sur la ligne 29 gare Saint-Lazare porte de monte en poivre la
fr,hZMSectHWqI,3,frange et 1 accent sobritiche Jane Birkin est décédé aujourd'hui à 76 ans l'actrice est chanteuse britannique a
fr,XjWjBF5cYaY,229,c'est que à ce moment là le réacteur numéro 4 fonctionnait à plein régime au moment de la catastrophe ce n'est pas le
fr,FzlNJ2TTrFk,89,rides et température devrait approcher des 42 degrés au sud komonor et même arrivé à 45 en Sardaigne merci Anthony
fr,Ipfnzjipa6A,73,offensive le gain territorial est donc d'environ 170 km². et la comparaison est accablante si l'on se réfère à la
fr,nyKCEFczZIM,9,connaissez forcément et depuis hier soir il était quelle heure 18 h à peu près il fait l'événement média de cette rentrée
fr,1Y8DFiHpd_w,61,cours comme ça en sortant de la péniche je finis par pas avoir 10 mars je suis inconsciente en tomba Luke arrive
fr,B0bG-mEg2dQ,35,débordement mais beaucoup les ont aussi maintenu c'est le cas de Paris ou 70000 personnes se sont ainsi rassemblées au
fr,pY1Tt7hioRM,10,intellectuelles dans le public viendra par la Cour des comptes de 2015 ensuite il y a eu 2 rapports parlementaires à
fr,MZfNtSMH-os,144,annonce que lance a refusé une dernière offre de 44 millions d'euros du RBC et aujourd'hui franquaise on a parlé en
