name,id,lang
FRANCE24,UCCCPCZNChQdGa9EkATeye4g,fr
euronewsfr,UCW2QcKZiU8aUGg4yxCIditg,fr
Europe1,UCIMGfEAERXjmWwQeg15BFsg,fr
innerFrench,UCI4xp8qHD1MDErkqxb1dPbA,fr
InaParisVintage,UC8rLuu2Xi0aUvcbaZt6flRg,fr
FranceInter,UCJldRgT_D7Am-ErRHQZ90uw,fr
lemondefr,UCYpRDnhk5H8h16jpS84uqsA,fr
topito,UCQs8MrktndWkXdqOj08ogrQ,fr
RMCSport,UCR5V8BTvlkyYtw6T_9swNEw,fr
LCI,UCewhc0fvja891XkpIPGRMxQ,fr
publicsenat,UCTa1bPArjpvNMgSHAb_pflA,fr
LCPAssembleenationale,UCHGFbA0KWBgf6gMbyUCZeCQ,fr
BFMTV,UCXwDLMDV86ldKoFVc_g8P0g,fr
Norman,UC1OORQEPrlqXC3rGM7QayCA,fr
Cyprien,UCyWqModMQlbIo8274Wh_ZsQ,fr
SQUEEZIE,UCWeg2Pkate69NFdBeuRFTAw,fr
L0ckl34r,UCvuACILbubOXV_OMBWqLM2g,fr
Siphano13,UCwa-qCAFghXwkcQvLadzRxQ,fr
DRDAfrancetv,UCRWhwFtif1T5mpFokTUnu6g,fr
IchibanJapan,UCKwLqdUm-iOxVA2ERRTsFng,fr
IciJapon,UCeGEv5MBdmGMgZFPrAlEmFA,fr
rtl_france,UCzBoVtUqSyAyr0kF5ABW7gQ,fr
Inasociete,UCCTuFofVWD9uORhQqgn-d7Q,fr
JLMelenchon,UCk-_PEY3iC6DIGJKuoEe9bw,fr
SciShow,UCZYTClx2T1of7BRZ86-8fow,en
EconomicsExplained,UCZ4AMrDcNrfy3X6nsU8-rPg,en
CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,en
WhatIveLearned,UCqYPhGiB9tkShZorfgcL2lA,en
hubermanlab,UC2D2CMWXMOVWx7giW1n3LIg,en
drekberg,UCIe2pR6PE0dae9BunJ38F7w,en
CNN,UCupvZG-5ko_eiXAupbDfxWw,en
CBSNews,UC8p1vwvWtl6T73JiExfWs1g,en
LegalEagle,UCpa-Zb0ZcQjTCPP1Dx_1M8Q,en
WonderWhy,UCcEPmwpXKrKzZahqjwpIAsQ,en
josephhogue,UCbKdotYtcY9SxoU8CYAXdvg,en
TED,UCAuUUnT6oDeKwE6v1NGQxug,en
mitocw,UCEBb1b_L6zDS3xTUrIALZOw,en
HISTORY,UC9MAhZQQd9egwWCxrwSIsJQ,en
BBC,UCCj956IF62FbT7Gouszaj9w,en
FoxNews,UCXIJgqnII2ZOINSWNOGFThA,en
numberphile,UCoxcjq-8xIDTYp3uz647V5A,en
WIRED,UCftwRNsjfRo08xYE31tkiyw,en
hubermanlab,UC2D2CMWXMOVWx7giW1n3LIg,en
Vice,UCn8zNIfYAQNdrFRrr8oibKw,en
PolyMatter,UCgNg3vwj3xt7QOrcIDaHdFg,en
TwoMinutePapers,UCbfYPyITQ-7l4upoX8nvctg,en
CasualScholar,UCcvczmsieHPRsrpc3v7GUmg,en
RobWords,UC4a9LfdavRlVMaSSWFdIciA,en
3blue1brown,UCYO_jab_esuFRV4b17AJtAw,en
crashcourse,UCX6b17PVsYBQ0ip5gyeme-Q,en
JJMcCullough,UCyhOl6uRlxryALlT5yifldw,en
WisecrackEDU,UC6-ymYjG0SU0jUWnWh9ZzEQ,en
Computerphile,UC9-y-6csu5WGm29I7JiwpnA,en
halfasinteresting,UCuCkxoKLYO_EQ2GeFtbM_bw,en
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,en
besmart,UCH4BNI0-FOK2dMXoFtViWHw,en
RealLifeLore,UCP5tjEmvPItGyLhmjdwP7Ww,en
NotJustBikes,UC0intLFzLaudFG-xAvUEO-A,en
stewarthicks,UCYAm24PkejQR2xMgJgn7xwg,en
veritasium,UCHnyfMqiRRG1u-2MsSQLbXA,en
SWRDoku,UCK6jlnWA8t-XgUxwZJJHkQA,de
ZDFheute,UCeqKIgPQfNInOswGRWt48kQ,de
ContraPerm,UC41QYJn8oVtCAigndokW35g,de
Wissenswert,UCizZsr6YKuhSK9sct4U9KXQ,de
SkySportDE,UCuOwl-VgqBHOzR8hWnonBcA,de
WELTVideoTV,UCZMsvbAhhRblVGXmEXW8TSA,de
derspiegel,UC1w6pNGiiLdZgyNpXUnA4Zw,de
artede,UCLLibJTCy3sXjHLVaDimnpQ,de
KurzgesagtDE,UCwRH985XgMYXQ6NxXDo8npw,de
SpontanaBlack,UCppK6hGo5L-dmrryG5T0K0Q,de
FritzMeinecke,UCSyAFJ6cmgYabA0RfPCNuzA,de
GalileoOffiziell,UC1XrG1M_hw8103zO2x-oivg,de
vietschi-farben,UCBgPPv7J48_vnVBVoKYd4Vw,de
SproutsDeutschland,UCACKzLYxdIRKEcWqiA3o-BQ,de
kurioseswissen,UCc0Fj8-u3qWHmHP1oTIl-bw,de
matthiasmorr,UCun_F6xxJYJ5TErfgf4FPWA,de
Lifetogo,UCjAMG2jrP5ZEzCK4obm203g,de
Grenzenlosci,UCETG3P2yoaCBJmRjOuknsFA,de
Marius_Quast,UCtAh1m085QkEKYNg0j_6r8A,de
MrNippon,UCsVBw4Uis3W2OUEQYWg3XDQ,de
Hiro,UCguj6850MMmRXSuRrn2bqKw,de
AchtungAbzockeDE,UCI7nAQdTWYGUQQY0DVzu4lA,de
ARDReisen,UC2kuG2O3pr60xmclc2c6b4g,de
PeaceLoveandOm,UCNqAk4bI7RQlI1RuqewmQYA,de
FabianBaggeler,UC51CrlNMYHQg8hOp4nEnsrg,de
kontorrecords,UCb3tJ5NKw7mDxyaQ73mwbRg,de
freekickerz,UCC9h3H-sGrvqd2otknZntsQ,de
NavalnyLiveChannel,UCgxTPTFbIbCWfTR9I2-5SeQ,ru
AlinaFooDee,UCXDdPCUl4SKQlp0XdltIDgg,ru
chefemel,UCgeval0um2gyuRhP1qch8Uw,ru
GotovimOP,UCoMKxdrf8_pmg3X-_iDeNgQ,ru
khodorkovskyru,UCAg74TJrwfpuCp1Jo3ZHMjA,ru
rozetked,UCDF_NIAEkcAUvzxe1DUzaQA,ru
